month,mean_sunshine_hrs
1982-01,5.6
1982-02,7.6
1982-03,5.1
1982-04,4.7
1982-05,5.8
1982-06,7.3
1982-07,7.6
1982-08,5.4
1982-09,5.2
1982-10,5.6
1982-11,5.8
1982-12,3.3
1983-01,4.3
1983-02,9.3
1983-03,8.9
1983-04,6.6
1983-05,5.9
1983-06,5.9
1983-07,5.4
1983-08,6.3
1983-09,3.8
1983-10,5.2
1983-11,3.2
1983-12,2.7
1984-01,4.1
1984-02,4.1
1984-03,5.3
1984-04,6.2
1984-05,6.4
1984-06,5.4
1984-07,5.7
1984-08,6
1984-09,4.9
1984-10,5.3
1984-11,4.3
1984-12,3.3
1985-01,8.7
1985-02,6.5
1985-03,5.6
1985-04,5.5
1985-05,5.7
1985-06,5.8
1985-07,5.3
1985-08,6.2
1985-09,5
1985-10,4.1
1985-11,4.1
1985-12,4.6
1986-01,3.9
1986-02,7.2
1986-03,4.6
1986-04,6.2
1986-05,6.1
1986-06,6.8
1986-07,6.2
1986-08,5.6
1986-09,4.8
1986-10,5
1986-11,4.5
1986-12,5.4
1987-01,4
1987-02,9.2
1987-03,6.9
1987-04,6.2
1987-05,5.6
1987-06,6.8
1987-07,6.7
1987-08,5.1
1987-09,5.4
1987-10,5.8
1987-11,4.5
1987-12,4.8
1988-01,5.9
1988-02,6.7
1988-03,5.2
1988-04,5.4
1988-05,5.6
1988-06,6.5
1988-07,6
1988-08,4.9
1988-09,4.8
1988-10,4.1
1988-11,3.7
1988-12,5.7
1989-01,5.8
1989-02,6.7
1989-03,4.5
1989-04,5.7
1989-05,5.2
1989-06,6
1989-07,6
1989-08,5.3
1989-09,5.5
1989-10,5.5
1989-11,5.4
1989-12,4.8
1990-01,5.3
1990-02,8.9
1990-03,8.3
1990-04,6.3
1990-05,6.5
1990-06,6.3
1990-07,5.9
1990-08,5.8
1990-09,5.1
1990-10,5.9
1990-11,4.6
1990-12,5.5
1991-01,5.6
1991-02,7
1991-03,7.1
1991-04,5.8
1991-05,5.1
1991-06,7.1
1991-07,6.7
1991-08,5.3
1991-09,4.1
1991-10,4.2
1991-11,3.5
1991-12,3
1992-01,6.6
1992-02,7.7
1992-03,7.4
1992-04,6.4
1992-05,5.7
1992-06,5.5
1992-07,4.7
1992-08,5.7
1992-09,5
1992-10,4.5
1992-11,3.7
1992-12,3.4
1993-01,5.5
1993-02,8.5
1993-03,5.4
1993-04,6.4
1993-05,6
1993-06,6.2
1993-07,5.2
1993-08,7.4
1993-09,5.9
1993-10,5.2
1993-11,4.7
1993-12,4.2
1994-01,6.1
1994-02,6.4
1994-03,3.5
1994-04,5.8
1994-05,5
1994-06,6
1994-07,7.6
1994-08,6.5
1994-09,3.8
1994-10,4.5
1994-11,4.5
1994-12,5.3
1995-01,5
1995-02,4.9
1995-03,5.9
1995-04,5.6
1995-05,6
1995-06,6.6
1995-07,5.2
1995-08,4.1
1995-09,5.8
1995-10,4.7
1995-11,3.7
1995-12,3.1
1996-01,5.2
1996-02,5.8
1996-03,7.7
1996-04,5.4
1996-05,7
1996-06,5.9
1996-07,6.7
1996-08,5
1996-09,4.8
1996-10,4.3
1996-11,4.4
1996-12,4.5
1997-01,7.7
1997-02,4.9
1997-03,7
1997-04,5.6
1997-05,6.7
1997-06,7.3
1997-07,6.5
1997-08,5.7
1997-09,3.2
1997-10,3.2
1997-11,5.4
1997-12,5.3
1998-01,7.4
1998-02,8.9
1998-03,7.6
1998-04,6.7
1998-05,5.9
1998-06,5.3
1998-07,5.1
1998-08,4.6
1998-09,4.5
1998-10,5
1998-11,4.6
1998-12,3.1
1999-01,3.9
1999-02,6.7
1999-03,4.3
1999-04,5.8
1999-05,5.7
1999-06,6
1999-07,6.8
1999-08,5.7
1999-09,6.5
1999-10,4.7
1999-11,4.7
1999-12,4.1
2000-01,4
2000-02,5.8
2000-03,5.8
2000-04,5.3
2000-05,6.8
2000-06,4.6
2000-07,6.5
2000-08,5.1
2000-09,6.2
2000-10,4
2000-11,3.7
2000-12,4.2
2001-01,4.4
2001-02,4.8
2001-03,5.4
2001-04,5.3
2001-05,6
2001-06,4.9
2001-07,8.1
2001-08,4.9
2001-09,6.2
2001-10,4.4
2001-11,3.7
2001-12,4.5
2002-01,6.9
2002-02,7.4
2002-03,7.6
2002-04,6.6
2002-05,6.2
2002-06,6.3
2002-07,6.8
2002-08,6.7
2002-09,5.5
2002-10,6.2
2002-11,4.6
2002-12,4.8
2003-01,4.7
2003-02,5.8
2003-03,6.9
2003-04,5.1
2003-05,5.8
2003-06,7
2003-07,5.6
2003-08,6.1
2003-09,5
2003-10,5.1
2003-11,4.2
2003-12,3.9
2004-01,6.7
2004-02,7.7
2004-03,4.8
2004-04,7
2004-05,6
2004-06,6.3
2004-07,4.2
2004-08,7.3
2004-09,5.9
2004-10,5
2004-11,5.8
2004-12,4.9
2005-01,6.5
2005-02,9.1
2005-03,7.2
2005-04,7
2005-05,5.5
2005-06,5.4
2005-07,5.4
2005-08,6.5
2005-09,6.2
2005-10,5.1
2005-11,4.4
2005-12,4.5
2006-01,4.8
2006-02,7.4
2006-03,7.1
2006-04,5.3
2006-05,5
2006-06,5.5
2006-07,6.9
2006-08,6.7
2006-09,5.3
2006-10,4.8
2006-11,5.6
2006-12,3.2
2007-01,4.1
2007-02,7.6
2007-03,5.8
2007-04,5.9
2007-05,5.5
2007-06,6
2007-07,3.8
2007-08,5.7
2007-09,5.8
2007-10,5.6
2007-11,3.5
2007-12,4.5
2008-01,6.1
2008-02,5.5
2008-03,4.3
2008-04,6
2008-05,6.6
2008-06,5.6
2008-07,4.9
2008-08,5.5
2008-09,5.1
2008-10,4.5
2008-11,4
2008-12,4.8
2009-01,6.6
2009-02,6.4
2009-03,5.5
2009-04,6.2
2009-05,6.6
2009-06,7
2009-07,6.2
2009-08,6.5
2009-09,5.6
2009-10,5.4
2009-11,4.7
2009-12,4.7
2010-01,7.1
2010-02,8.8
2010-03,6.1
2010-04,6.2
2010-05,6.5
2010-06,5.1
2010-07,4.6
2010-08,5.4
2010-09,5.7
2010-10,4.2
2010-11,5
2010-12,3.6
2011-01,4.5
2011-02,7.5
2011-03,4.6
2011-04,7.2
2011-05,5.9
2011-06,5
2011-07,7.8
2011-08,6.1
2011-09,5.1
2011-10,5.3
2011-11,4.6
2011-12,3.3
2012-01,6
2012-02,7
2012-03,4.2
2012-04,5.8
2012-05,5.6
2012-06,6
2012-07,6.2
2012-08,6.1
2012-09,5.6
2012-10,5.9
2012-11,4.4
2012-12,3.6
2013-01,6
2013-02,4
2013-03,7.5
2013-04,5.2
2013-05,5.4
2013-06,6.4
2013-07,5.7
2013-08,6.1
2013-09,4.6
2013-10,6.3
2013-11,4.5
2013-12,3.5
2014-01,5.3
2014-02,8.8
2014-03,8
2014-04,5.7
2014-05,5.8
2014-06,6
2014-07,5.5
2014-08,4.5
2014-09,7
2014-10,6
2014-11,5.4
2014-12,3.7
2015-01,7.4
2015-02,7.3
2015-03,7.3
2015-04,7.2
2015-05,5.8
2015-06,6.7
2015-07,7.1
2015-08,6.1
2015-09,4.3
2015-10,4.7
2015-11,4.8
2015-12,5.3
2016-01,7.2
2016-02,6.5
2016-03,8
2016-04,7
2016-05,6.2
2016-06,5.4
2016-07,6.3
2016-08,6.7
2016-09,5.5
2016-10,4.6
2016-11,3.5
2016-12,5.1
2017-01,4.8
2017-02,7.1
2017-03,6.1
2017-04,5.3
2017-05,5.9
2017-06,6.3
2017-07,7
2017-08,6.1
2017-09,5.7
2017-10,5.5
2017-11,4.2
2017-12,5.6
2018-01,4.1
2018-02,8
2018-03,6.4
2018-04,6.8
2018-05,5.8
2018-06,4.1
2018-07,6.1
2018-08,6.7
2018-09,6
2018-10,6.1
2018-11,3.8
2018-12,5.1
2019-01,7.1
2019-02,9.2
2019-03,8.3
2019-04,5.9
2019-05,7
2019-06,5.3
2019-07,7.5
2019-08,7.6
2019-09,6.7
2019-10,6.5
2019-11,5.5
2019-12,4.8
2020-01,7.1
2020-02,8.3
2020-03,7.6
2020-04,7.1
2020-05,5.7
2020-06,4.3
2020-07,5.7
2020-08,6.4
2020-09,4.8
2020-10,4.3
2020-11,4
2020-12,5.2
2021-01,4.2
2021-02,8.2
2021-03,7.3
2021-04,6.8
2021-05,6
2021-06,6.5
2021-07,6.8
2021-08,4.8
2021-09,6.4
2021-10,6.2
2021-11,4.9
2021-12,5.4
2022-01,8.3
2022-02,5.9
